# curie_map:
#   linkml: https://w3id.org/linkml/
#   sempav: https://w3id.org/sempav
#   loinc: https://loinc.org/
#   NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#   skos: http://www.w3.org/2004/02/skos/core#
#   wikidata: https://www.wikidata.org/entity/
#   orcid: https://orcid.org/
# license: http://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2023-05-01'
# mapping_set_id: http://w3id.org/mapping_commons/monarch/loinc2ncbitaxon.sssom.tsv
# issue_tracker: https://github.com/monarch-initiative/monarch-mapping-commons/issues
# creator_label: "Monarch Initiative"
# creator_id: wikidata:Q34645736
# author_id: orcid:0000-0002-5316-1399
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
loinc:LP39606-6 Rickettsia typhi Ab	skos:relatedMatch	NCBITaxon:785	Rickettsia typhi	semapv:ManualMappingCuration	antibody vs bacteria
loinc:LP29134-1	Yeast	skos:relatedMatch	NCBITaxon:4932	baker's yeast	semapv:ManualMappingCuration	antibody vs bacteria
loinc:LP14082-9	Bacteria	skos:relatedMatch	NCBITaxon:2	bacteria	semapv:ManualMappingCuration	antibody vs bacteria
loinc:LP14255-1	Cytomegalovirus	skos:exactMatch	NCBITaxon:10358	cytomegalovirus	semapv:ManualMappingCuration	antibody vs bacteria
loinc:LP14413-6	Trichomonas vaginalis	skos:exactMatch	NCBITaxon:5722	trichomonas vaginalis	semapv:ManualMappingCuration	
loinc:LP14316-1	Neisseria gonorrhoeae	skos:exactMatch	NCBITaxon:485	neisseria gonorrhoeae	semapv:ManualMappingCuration	
loinc:LP14252-8	Toxoplasma gondii	skos:exactMatch	NCBITaxon:5811	toxoplasma gondii	semapv:ManualMappingCuration	
loinc:LP39533-2	Rabies virus Ab	skos:relatedMatch	NCBITaxon:11292	Lyssavirus rabies	semapv:ManualMappingCuration	
loinc:LP14405-2	Streptococcus agalactiae	skos:exactMatch	NCBITaxon:1311	streptococcus agalactiae	semapv:ManualMappingCuration	
loinc:LP14061-3	Adenovirus	skos:exactMatch	NCBITaxon:10535	adenovirus	semapv:ManualMappingCuration	
loinc:LP308326-0	enterobius vermicularis^2nd specimen	skos:exactMatch	NCBITaxon:51028	enterobius vermicularis	semapv:ManualMappingCuration	
loinc:LP308327-8	enterobius vermicularis^3rd specimen	skos:exactMatch	NCBITaxon:51028	enterobius vermicularis	semapv:ManualMappingCuration	
